"","region","5HT1a","5HT1b","5HT2a","5HT4","5HT6","5HTT","A4B2","CB1","D1","D2","DAT","GABAa-bz","H3","M1","mGluR5","MOR","NET","NMDA","VAChT"
"180",180,1.2463181024552,-0.116282668946617,0.951389803461937,0.732189738235077,-0.354538569624062,-0.26615665283098,-1.06695696204158,-1.07627099862456,0.411707722228616,-0.205548660111664,-0.00463808958064309,0.554653405330904,-0.909655174125293,-0.214175284758447,-0.613912601055358,0.219237751711057,0.0850483851476184,-0.686213219413192,-0.515296584464123
"181",181,1.07279852772426,0.50706476593504,1.47501598517288,0.759788243509652,0.657497348253915,-0.316846579933344,-0.0837501377925043,0.0734325302309966,-0.36190352662897,-0.0416369771106717,-0.418613112564745,0.265254072895947,-0.669456859985891,0.474096961133959,-0.564318788902752,0.093130764417764,0.0728591619811915,-0.645419437445223,-0.583327464561088
"182",182,1.02709584621967,0.291283719596574,1.35211837849425,0.588250730932148,0.231473082927915,-0.36777832389349,-0.51189984938604,-0.533870113761462,0.2088247343338,-0.14600075143583,-0.103995662907974,0.226636635101277,-0.517084467088865,0.254042365254671,-0.238344120700972,0.271874683556579,0.296652869903386,-0.479890023494399,-0.525066301736042
"183",183,1.07936000595555,0.491313537263279,1.08131770551374,0.22036590053862,1.02251260941578,-0.386574558127644,-0.00688984004765904,0.742185957716307,-0.257647293406003,0.0602711431047647,-0.173848850350294,0.796560766060684,-0.563263364192204,0.578988670343668,0.289003575646688,0.163091433662893,0.327795501571948,-0.0526562445168632,-0.361405076854492
"184",184,1.21817310660987,0.639359414929322,1.49099912903574,0.223115213179173,0.785099996641574,-0.311226223989284,-0.0665786576684512,0.453297571584022,0.390350382112823,0.0523847808546607,0.00193194251360909,0.896874971305051,-0.24563144579088,0.804570247183616,0.682703541323636,0.344960858959711,0.835974771857061,0.176826832061087,-0.288104452217617
"185",185,0.645426761783866,0.0271342394198938,0.753773175757328,0.0540974143484152,0.498563782069621,-0.346603398601594,-0.35841797386264,0.631329710904593,-0.398112201121338,-0.0710489498000413,-0.274470170685646,0.449383379959371,-0.702651172182464,0.176322933636343,0.474781128093409,0.00523693814527835,-0.0203937764813553,-0.254082192844282,-0.349855381576686
"186",186,0.593095356996817,-0.0262804484389312,0.806178525337281,0.151913804199704,0.213643233933678,-0.411357595423968,-0.555163606688354,0.213552556440621,-0.126450241833914,-0.117865227027134,-0.0637317471544151,0.891543856689783,-0.490382482086981,0.104225019139822,0.493984514899054,0.152237212606407,0.236299221157751,-0.420939104343989,-0.360498417065886
"187",187,1.28361091414193,-0.782530200916254,0.759807784465736,0.281784629199211,-0.26930090667514,-0.307426486639587,-0.871608746558943,-0.786512417850734,0.00733777730073854,-0.034794961825376,-0.129658254387305,-0.30850639559541,-0.766536910132535,0.0405151184628839,-0.244254403133243,0.348369385472039,0.0912715866031541,-0.0721268961410825,-0.413238096447912
"188",188,1.17251307682918,-1.11186662045369,0.388397036032107,0.0933854680488805,-0.48651583316864,-0.358055950104047,-1.20540180586242,-0.899880922131381,0.103520113332251,-0.0652807213041329,-0.17551886866337,-0.901256366471664,-1.04285326812063,0.112012566753236,-0.295172675424654,0.344363172071629,0.231128942197717,-0.106339472994754,-0.462713805434612
"189",189,1.29365552970134,-0.115714864553524,1.30917318672046,0.695270292692749,-0.248131354609783,-0.423285778131778,-0.62776598152157,-0.6444561505391,0.0282180409439629,-0.115259803017166,-0.300713247665113,-0.0491771742926035,-0.748663551202512,0.262956552176515,-0.46874290667113,0.300316032532198,-0.353689655298963,-0.802288483618198,-0.535024171985199
"190",190,1.18042597250801,-0.625755596642277,0.766926438215038,0.174538990923938,-0.167953131933876,-0.487350737851986,-0.800514396255914,-0.749663652119534,0.324907443410855,-0.101996281475748,-0.0443331317040101,-0.343632886241814,-0.630972497125457,0.319354077172124,-0.378201755449062,0.327100290178574,0.176972695764476,-0.925586237009513,-0.500025503200129
"191",191,0.863313086103629,-0.113489206031416,1.25123933479282,0.571444256318875,0.687465049983544,-0.443848942232533,-0.20701245629675,-0.0606694469223546,-0.37402926727571,-0.0215074707818771,-0.478009308351333,-0.353793534277964,-0.475585086548212,0.345347030670706,-0.341280131379739,0.0747598296238946,0.251636090785519,-0.786236675151645,-0.622440043764011
"192",192,0.90674037811077,-0.193331003472326,1.13181209155768,0.39873543229304,0.45876534989751,-0.456188560089656,-0.471179680560897,-0.3746945777497,-0.0744842156450046,-0.0755359256349986,-0.100095633154611,0.608941118692729,-0.273332008584288,0.341752658539591,-0.154321559006256,0.177766765822127,0.607695299398411,-0.776822611072688,-0.542745054470862
"193",193,1.21986104050679,0.387500530515425,1.50766170651,0.699704227073316,1.03635608171699,-0.245101407323049,-0.118793302028636,0.693524632616357,0.0257342779093701,0.0578021179911514,-0.184329281366992,0.828053838757896,-0.319641217474593,0.546372508639734,0.73911101668387,0.120884247520915,0.265171158181406,0.533702231826944,-0.327984649466527
"194",194,1.06368605748662,0.318001585733656,1.72117423210701,0.746285259018176,0.405798135573362,-0.2509531097667,-0.657142776272162,-0.123664786836429,-0.00952997863080681,-0.0558899047897132,-0.133928682728404,0.439233587095713,-0.20211256584023,0.165113982131909,0.27902220299727,0.20564907899698,0.732900428374749,-0.466823952950185,-0.525084166827216
"195",195,0.379535299765782,0.043792128378854,0.688154272255844,-0.0623113605307309,0.952146780135054,-0.375138054580318,0.0246982424852651,0.541566938695726,-0.399966442000328,-0.0578416084496202,0.0388727782804684,1.44126799614067,-0.52997753713015,0.412220357151342,0.672470190058557,-0.493749045984502,-0.0990044568522483,0.542120078862816,-0.157005202871048
"196",196,0.561298040130747,0.0110994172676535,0.996783915698168,0.560132352673548,0.708346408292007,-0.320195488076283,-0.0784814462210377,0.676678170649888,-0.210846015551937,-0.0673403875629098,0.106848921918447,0.784780419922099,-0.483946989391035,0.471499200351283,0.718977046813893,-0.293015831542987,0.159630923551977,0.141221191920642,-0.221317763832544
"197",197,1.39238395974956,-1.67372332742699,-0.248152556273757,-0.418762622288522,0.10713449433081,0.138106887158416,-0.901137710268644,-0.175216356663967,-0.20953565896556,0.0396169682719452,-0.0552732127147989,-1.71579834440613,-0.358203275938658,-0.124423386528404,-0.108536530078707,0.306984298992143,-0.773686975661823,-0.627514761476831,-0.270603001704334
"198",198,1.33949346942791,-1.72428939670713,-0.27253445745163,-0.271418951516883,0.0322672662309211,0.15783960185543,-0.755613862121976,-0.103698273388163,-0.355452600671268,0.00454214629931487,-0.29451421533809,-1.63945925611198,-0.147362142136244,0.106805894406182,-0.0109098867581952,0.0994854505709055,-1.48741313947029,-0.679599490819038,-0.328500510562754
