region,sentMword_list,sentMword_prod,sentMword_read,LBJ
212,-0.04032265,0.3190623934,-0.103070157,3.3714397167
213,0.2083371719,-0.00272243,0.1468450976,-1.312253626
214,0.2198889386,0.1035624217,0.2363437077,-1.555541162
217,0.446719381,0.2473736863,0.6582693938,-0.982637323
218,0.4731808982,0.3711407847,0.7593410271,-1.648258515
219,0.0757100742,-0.034438242,0.1137359709,-0.435698089
220,0.1058643444,0.0856075028,0.1916793944,-0.974604096
221,0.0285415134,0.9897381674,-0.128418773,3.3703241223
222,0.0443216078,0.8622445931,-0.07137832,6.0779450437
223,0.2690476629,0.9526254254,0.2491881844,0.6960812157
224,0.0489307388,0.3507981087,0.0762616596,1.8041104008
225,0.2748324617,1.2043259371,0.4784341673,2.3062372946
226,0.051576521,0.7242153718,0.156412459,4.1107450161
227,0.0473692773,0.8849189577,-0.164755341,3.9353651965
228,0.0997269475,0.9282463273,-0.095535354,5.3666534986
229,0.0468828785,0.8953217969,0.0359730296,4.8856149238
230,0.057338499,0.7594652893,0.0964752149,5.8166252869
231,-0.085326585,0.131965042,0.0165351719,4.7198477276
232,-0.034198357,0.2145995328,0.0697763357,4.5410709288
233,-0.051488015,-0.138151525,-0.010706343,3.7565447628
234,-0.022674298,-0.076325739,0.0185688705,3.0849128822
235,0.022397952,-0.065766437,0.0517903366,2.3606321676
236,0.0176795241,-0.043334551,0.0773543839,1.5974574241
237,0.0359673595,-0.140418705,0.0434784611,1.3632988897
238,-0.01962877,-0.188674728,0.0041084768,1.5070566299
239,0.0799260549,-0.066169923,0.1546138469,1.1751586992
240,0.0824234863,-0.046793914,0.1849732994,0.8400364823
241,0.0575744938,0.1666256784,-0.087891127,0.0315559935
242,0.082719006,0.2633669917,-0.043714736,0.4913498412
243,0.0148899788,0.4573086557,-0.207542392,2.4186888946
244,0.0658732882,0.604456094,-0.145203022,3.2125098219
245,0.0002109593,0.4014748739,-0.093140505,4.6873318734
246,0.0791156235,0.5415257778,-0.024646648,4.370376168
247,0.0290240755,0.2618332737,-0.086561556,3.1799139199
248,0.10844057,0.4287990367,-0.011301017,3.4205001908
249,-0.012012737,-0.015859153,-0.168661223,0.8476407517
250,-0.066746446,-0.036623941,-0.194285862,1.0472719869
251,-0.21348305,0.0473216106,-0.475379572,3.2438105385
252,-0.16177748,0.0910276323,-0.407201997,3.6083770191
253,0.0270253393,0.1525750996,-0.07623913,0.3489030145
254,0.0911258569,0.0962741027,0.1232778464,-0.113568458
255,0.4265647491,0.8895697079,0.4692247705,0.1704904381
256,0.3053439164,0.5544236394,0.3519958291,0.9176038849
257,0.0140343625,-0.228808733,0.0591741915,2.6966646493
258,0.0900023949,-0.078458534,0.1639571917,0.9941709496
259,0.0521595702,-0.120799969,0.0620365748,1.0407187338
260,0.0627204456,-0.130173706,0.082402983,0.3814084977
261,0.0789235378,-0.112105151,0.0966824861,0.4465452996
262,0.0874755767,-0.148060636,0.101942922,-0.115844651
263,0.1898732358,0.1671860759,0.2206167863,-1.004301014
264,0.0904712942,-0.058958883,0.0680514324,-1.210071479
265,0.2994074813,0.2917812818,0.4565713339,0.030374872
266,0.2985926643,0.2231482829,0.5071028366,1.3658958615
267,0.54078579,0.524333884,0.7196721905,-2.107020976
268,0.5488091914,0.4668653918,0.8333080235,-1.235608365
269,0.5413580072,0.4513648757,0.6777463076,-1.72961792
270,0.457160111,0.3454911962,0.7240881516,-1.716531626
271,0.3600756298,0.3862355788,0.4765744542,0.1050849933
272,0.2631329136,0.2591116238,0.4221253491,0.299996018
273,0.1370522792,0.233633913,0.0881179542,1.4308797994
274,0.1124882416,0.1618515206,0.1926470312,1.9171504445
275,0.2718637204,0.6245075279,0.0821274205,-0.244048342
276,0.1075273399,0.3799372649,-0.058181105,1.0367289605
277,0.0609954623,0.3432468395,0.006882771,0.4429261747
278,0.0813523452,0.2479407137,0.1611967248,1.121187313
279,-0.166664802,0.2723372898,-0.421789142,2.7955143585
280,-0.188626989,0.0331694792,-0.393134768,4.5782543772
281,0.0647612034,0.4473712375,-0.281384958,2.5752786157
282,-0.034440206,0.2799010623,-0.39899305,4.4920305703
283,0.3202419368,0.3962522813,0.5267033625,4.0404747374
284,0.3490904755,0.307415569,0.5861402774,4.8404368466
285,-0.039264917,-0.035188063,-0.068684912,1.1145879205
286,0.0107897499,-0.032701616,0.0285353472,2.6205924712
287,-0.102100105,0.1160886303,-0.199728351,4.0181398578
288,-0.039768377,-0.034090755,-0.113073418,4.8221173127
289,0.087965206,0.1449160411,0.23411611,5.553559746
290,0.1208965335,0.1511606952,0.276639376,5.3214577601
291,-0.046990589,-0.159005673,-0.007756842,2.8285973773
292,0.0124652535,-0.058659469,0.0613574623,3.6064064589
293,-0.068198646,-0.063753904,-0.045491185,3.4416562729
294,-0.002692591,-0.097222161,0.0523769853,3.63877778
295,-0.128182694,-0.140192967,0.0120249274,3.4982188496
296,-0.092550553,-0.144340733,0.0568894851,2.9348607116
297,-0.160331875,-0.129761249,-0.002071536,2.6391339108
298,-0.157375378,-0.151264056,0.0968992524,2.761821156
299,0.0066899632,0.167314981,0.1878770338,6.4044470956
300,0.0687260829,0.1670148786,0.2768750205,6.5411383566
301,-0.06074385,0.1470196281,0.0843018198,7.0400604155
302,0.0191732316,0.1556870276,0.2069733032,7.7034786614
303,-0.097028237,0.1340755732,0.0308939549,3.9581971109
304,0.0209854831,0.0952975399,0.1050732607,4.4332175116
305,0.1879047847,0.1883123244,0.1725565913,3.5476374615
306,0.2124913052,0.1362998366,0.2464667831,4.98204805
307,-0.003762209,-0.013270022,0.0909395256,4.4782408063
308,0.0732316358,-0.094465553,0.086816495,5.3172780229
309,-0.069932126,0.0047867523,0.0756473984,5.3445906885
310,0.0228312646,-0.058887467,0.1511503462,5.4806618097
311,-0.302412362,-0.267577415,-0.013760735,5.9035179055
312,-0.146382768,-0.338430955,-0.018910749,7.4686098518
313,-0.239272454,-0.134770272,0.0040624534,4.7799585991
314,-0.067466311,-0.199702453,0.008004382,5.0448283646
315,-0.230768474,-0.056323245,0.0053805851,4.5880893488
316,-0.120138152,-0.109753897,0.0046306,5.0544990879
317,0.3810497324,0.293231402,0.5252914081,0.0769762042
318,0.3310758099,0.1980832268,0.4877131412,0.4524652072
319,0.2040632147,0.2745472938,0.1877990526,0.7531270339
320,0.1705243438,0.2270671988,0.1656348696,1.5962887258
321,0.4175724494,0.4071877596,0.4672005065,1.7455591896
322,0.2171212917,0.1708842675,0.2175130925,2.0907429759
