"","region","5HT1a","5HT1b","5HT2a","5HT4","5HT6","5HTT","A4B2","CB1","D1","D2","DAT","GABAa.bz","H3","M1","mGluR5","MOR","NET","NMDA","VAChT"
"95",201,-0.1279501724897,-0.074357428516194,0.058846967400658,0.0302526460718351,-0.588302200349162,-0.103109021362408,-0.385869373943724,0.338086517824507,-0.321456166854591,-0.0456927011860785,-0.136366747623847,-0.0415044922250226,-0.177149583999294,-0.478343351979129,0.260094025058447,-0.012073245120626,0.104393094950352,0.453692275043595,0.014938705665917
"96",203,-0.0139559934512001,-0.44960332388757,-0.874037600335934,-1.04129864577903,0.49139407236099,-0.66880141262904,0.070581659281796,0.277544458282324,-0.158901482298181,0.042437574100763,0.087396415170073,0.140305191252245,0.140020529442659,-0.286053282862108,-0.350243796797432,-0.113791067613856,0.902784062272661,-0.979659479954564,-0.036996524538478
"97",205,-0.271017836912415,-0.0562730167219301,-0.234681919397331,-0.087921760549284,-0.60820985562247,-0.1001465158628,-0.12419079512959,-0.56666537267507,-0.124562680540516,-0.168248721062183,-0.209648824159051,-0.36262274442715,0.0866004670024998,-0.322284429412178,-0.30791237511996,-0.217504803899952,-0.229289631874919,-0.509487101261258,-0.090454804733814
"98",207,0.022541533754213,0.289680785730148,0.339218773679965,0.316475250347436,0.09127537635009,0.163934223341563,-0.073335769295115,0.0670197185036601,-0.114398606303203,-0.055935863787218,-0.1443206858758,1.31773146888332,-0.0239682216133601,0.0413200642110759,0.01325593701142,-0.0414470582034689,0.280929467705704,-0.304349995210878,-0.012706351316483
"99",209,-0.0571379527095491,-0.314478901301812,-0.220932573959066,-0.143507841869511,0.571892869509031,0.00256493541109698,0.310161302470673,0.199747977141289,0.0135286435659728,-0.016657746152085,-0.000186352145008062,-0.317760216528596,0.164663124287404,0.062745741654125,0.082629609966845,-0.041969961920454,0.459764395956007,-0.121386507902679,-0.021745393062814
"100",211,0.046624940769469,0.0161502666078901,-0.021250442644791,-0.0839936914691064,0.00125390962905303,-0.00965795858502599,-0.00173532762298401,-0.057636549599036,-0.0135740833311437,-0.018389931993224,-0.046961087238994,-0.22610900987974,-0.103441838655811,-0.174716571650634,-0.127783607497351,-0.0392284434550859,0.097763432260614,-0.554080593706139,-0.064169181984294
"101",213,-0.167079924666113,0.125753158553108,0.331930621126772,0.191898444074412,-0.00275369578667006,0.123474371733408,-0.130213693514206,0.08749033921911,-0.131777016853871,-0.050282502660938,-0.124647669133348,0.525407263748623,-0.09986492223962,-0.292331737737821,-0.00610052882022005,-0.096794045390969,0.312630705797418,-0.447474045983598,-0.00658844103382521
"102",217,-0.27635342142125,-0.0629311122566729,-0.0711550771727101,-0.212679368834902,-0.034057808258228,-0.030288323569004,-0.200209868789547,0.0667349352051398,-0.15964246586943,-0.074031895507704,-0.188942996197225,-0.636581152518754,-0.15159534538138,-0.370728453708674,-0.16169272673745,-0.179587160505498,0.575806572089631,-0.68612710143295,-0.0296773702199986
"103",219,-0.12896291630644,-0.162360667748713,-0.169432964020249,-0.366051212720145,0.0732829642061565,-0.088324806638651,-0.0397831860009015,0.077481138628607,0.040890073474338,-0.00442526327550853,0.044541753203214,-0.516129706393345,0.361731853075403,-0.104991320144177,0.15278357582715,0.00412650052728503,-0.210763107685419,-0.42480131277878,-0.0118868983051387
"104",221,-0.0941533808781346,0.0172227118203301,-0.14353961293408,-0.141517461744823,-0.139825528366319,-0.023403776291992,0.073163253523531,-0.323173100191065,0.104336609038276,-0.012658430104651,0.105371030987125,-0.766510163363236,-0.42558594276228,-0.180694175001864,-0.0492934389914891,-0.017420726078094,0.081827218067743,-0.106743591935346,0.0278646107059827
"105",223,0.009804372363167,0.172313073974422,0.078895486740749,-0.00892381454885999,-0.103199206935081,-0.0186120734009489,-0.146019831377266,0.0265998284504547,-0.043875442424228,-0.00761918077880297,-0.0402939856588198,-0.083940870238799,-0.306115700035928,0.065833501155262,0.066931828364848,0.032495213092424,0.045456003020147,-0.105872712483261,-0.032647398806475
"106",225,-0.039240131128348,0.046985860852505,0.148327919554069,0.026898683002018,-0.192245649699963,0.000184831404652086,-0.117092244167916,0.00538273868377813,0.011662665403698,0.011004023244916,0.18405173094172,0.644386464539796,0.030722954752709,-0.278851585609252,0.04843377277652,0.050238776388233,0.148579493805997,-0.221994096088517,0.035791175734716
"107",227,0.079067656869273,0.416487318269694,0.140955686343371,0.177166676530929,-0.138818756516579,0.148546932101076,-0.0505396470145291,-0.197043179192785,0.065613425580463,0.001021626985096,0.00516468373124995,0.671451724590888,-0.44263397884071,-0.075296572832324,-0.15123125479507,-0.0491792039813499,0.495831084702021,-0.222778470572097,0.051730951668968
"108",229,0.075590469629792,0.232593400316436,0.123030962981209,-0.01443892498068,0.074142182761881,0.099974322284322,0.177558442496668,-0.132285537363713,0.185596673023828,0.055081933248473,0.336041359527397,0.341900052794235,-0.17350868217249,0.075289779575197,0.223047689711276,0.158722613231558,0.310511868543083,0.219248301600123,0.164724254248085
"109",231,0.0850922868859951,0.143346680792792,0.0408013424792247,-0.028144386984067,0.081063069928991,0.071167779617878,0.148680446654278,-0.159206433861301,0.107921107723454,0.04193509414189,0.291900660741978,-0.109200240541796,0.0573904367655089,0.127278406761722,0.258419090865032,0.115834863134948,0.03807010817774,0.317191288222192,0.202507175240383
